comparator,n_full,n_comparator,full_mean,comparator_mean,diff,row_welch_p,boot_ci_low,boot_ci_high,boot_tail_p,cluster_perm_p,row_sig,boot_sig,perm_sig,filter,rows,participants
body,14,18,7.261904761904762,6.296296296296296,0.965608465608466,0.03691561701670168,-0.06191964285714264,2.1385702614379083,0.032989003665444855,0.1769410196601133,True,False,False,no_fast_25pct_attention_pass,41,21
mind,14,15,7.261904761904762,6.377777777777777,0.8841269841269845,0.05893498118973399,-0.42477240896358476,2.160724206349208,0.08930356547817395,0.07397534155281572,False,False,False,no_fast_25pct_attention_pass,41,21
soul,14,20,7.261904761904762,6.4,0.8619047619047615,0.05518910310806483,-0.17414251207729464,1.9424081035923146,0.05564811729423526,0.07197600799733422,False,False,False,no_fast_25pct_attention_pass,41,21
baseline,13,15,7.256410256410257,5.2444444444444445,2.011965811965813,0.0005725657371417488,0.7290509259259271,3.1176820728291315,0.000999666777740753,0.011996001332889037,True,True,True,no_fast_30pct_attention_pass,38,20
body,13,15,7.256410256410257,6.311111111111112,0.9452991452991455,0.05849706666812229,-0.23562500000000022,2.153585858585858,0.060313228923692105,0.271242919026991,False,False,False,no_fast_30pct_attention_pass,38,20
mind,13,13,7.256410256410257,6.307692307692308,0.9487179487179489,0.06569616262700424,-0.4872222222222205,2.3079761904761904,0.09330223258913696,0.11629456847717427,False,False,False,no_fast_30pct_attention_pass,38,20
soul,13,20,7.256410256410257,6.4,0.8564102564102569,0.06439627179114761,-0.22232441471571826,1.9889522058823532,0.06497834055314895,0.08197267577474175,False,False,False,no_fast_30pct_attention_pass,38,20
baseline,18,21,6.925925925925926,5.380952380952381,1.5449735449735442,0.00151068445754355,0.33059761042097985,2.670258222282048,0.008330556481172943,0.01899366877707431,True,True,True,no_fast_180s_attention_pass,54,23
body,18,21,6.925925925925926,6.476190476190477,0.44973544973544843,0.18026865384600063,-0.5316754385964908,1.510789700495583,0.17360879706764412,0.10496501166277908,False,False,False,no_fast_180s_attention_pass,54,23
mind,18,22,6.925925925925926,6.06060606060606,0.8653198653198659,0.042358033463920614,-0.2598123513912995,1.9616111111111123,0.06331222925691436,0.06064645118293902,True,False,False,no_fast_180s_attention_pass,54,23
soul,18,26,6.925925925925926,6.243589743589743,0.6823361823361829,0.0841814391178339,-0.13419625914881964,1.6604985325999824,0.05498167277574142,0.03465511496167944,False,False,True,no_fast_180s_attention_pass,54,23
baseline,16,18,6.9375,5.240740740740741,1.6967592592592586,0.0015047444587870358,0.5219494047619047,2.881527777777778,0.002999000333222259,0.006331222925691436,True,True,True,no_fast_240s_attention_pass,48,23
body,16,20,6.9375,6.433333333333333,0.5041666666666673,0.1729410249117213,-0.5435801513587883,1.649246031746034,0.16461179606797735,0.18160613128957015,False,False,False,no_fast_240s_attention_pass,48,23
mind,16,19,6.9375,6.017543859649122,0.9199561403508776,0.051081969693823046,-0.23902777777777687,2.116019736842106,0.062312562479173605,0.06164611796067977,False,False,False,no_fast_240s_attention_pass,48,23
soul,16,23,6.9375,6.3478260869565215,0.5896739130434785,0.1335300632034378,-0.3109933574879222,1.5803240740740743,0.10663112295901367,0.03332222592469177,False,False,True,no_fast_240s_attention_pass,48,23
baseline,13,15,7.256410256410257,5.2444444444444445,2.011965811965813,0.0005725657371417488,0.6786838978015451,3.139218559218558,0.0026657780739753416,0.010663112295901367,True,True,True,no_fast_300s_attention_pass,38,20
body,13,15,7.256410256410257,6.311111111111112,0.9452991452991455,0.05849706666812229,-0.23677624458874336,2.1310119047619063,0.06064645118293902,0.27757414195268243,False,False,False,no_fast_300s_attention_pass,38,20
mind,13,13,7.256410256410257,6.307692307692308,0.9487179487179489,0.06569616262700424,-0.4526893939393926,2.277777777777776,0.09796734421859381,0.11162945684771743,False,False,False,no_fast_300s_attention_pass,38,20
soul,13,20,7.256410256410257,6.4,0.8564102564102569,0.06439627179114761,-0.23420138888888978,1.9947162698412695,0.06697767410863045,0.08297234255248251,False,False,False,no_fast_300s_attention_pass,38,20
baseline,16,18,6.9375,5.240740740740741,1.6967592592592586,0.0015047444587870358,0.47586523125996977,2.8444494720965308,0.003998667110963012,0.009996667777407531,True,True,True,audio_ended_no_fast_10pct_attention_pass,49,23
body,16,21,6.9375,6.476190476190477,0.46130952380952284,0.1903046841962601,-0.6410511363636368,1.639070512820513,0.19026991002999,0.17627457514161946,False,False,False,audio_ended_no_fast_10pct_attention_pass,49,23
mind,16,19,6.9375,6.017543859649122,0.9199561403508776,0.051081969693823046,-0.2686781464722632,2.1504044201412635,0.062312562479173605,0.06331222925691436,False,False,False,audio_ended_no_fast_10pct_attention_pass,49,23
soul,16,24,6.9375,6.263888888888888,0.6736111111111116,0.10148571177156346,-0.2426041666666661,1.7101889233954457,0.08863712095968011,0.0376541152949017,False,False,True,audio_ended_no_fast_10pct_attention_pass,49,23
baseline,15,16,7.0888888888888895,5.375,1.7138888888888895,0.002072581530657581,0.4247067577030824,2.8448380566801617,0.006331222925691436,0.008997000999666778,True,True,True,audio_ended_no_fast_20pct_attention_pass,44,22
body,15,19,7.0888888888888895,6.350877192982456,0.7380116959064331,0.08509013914003963,-0.2782051282051272,1.7750584795321656,0.07997334221926025,0.19660113295568143,False,False,False,audio_ended_no_fast_20pct_attention_pass,44,22
mind,15,17,7.0888888888888895,6.098039215686274,0.9908496732026153,0.04191117380083472,-0.26692810457516236,2.125223214285715,0.054315228257247584,0.06997667444185271,True,False,False,audio_ended_no_fast_20pct_attention_pass,44,22
soul,15,21,7.0888888888888895,6.444444444444445,0.6444444444444448,0.11553364892702052,-0.3518095238095238,1.747285714285716,0.11229590136621126,0.08997000999666778,False,False,False,audio_ended_no_fast_20pct_attention_pass,44,22
baseline,14,15,7.261904761904762,5.2444444444444445,2.0174603174603174,0.000362426611269881,0.7291538742690052,3.1042212301587306,0.002999000333222259,0.012329223592135955,True,True,True,audio_ended_no_fast_25pct_attention_pass,41,21
body,14,18,7.261904761904762,6.296296296296296,0.965608465608466,0.03691561701670168,-0.07855392156862799,2.0531926406926417,0.03798733755414862,0.1919360213262246,True,False,False,audio_ended_no_fast_25pct_attention_pass,41,21
mind,14,15,7.261904761904762,6.377777777777777,0.8841269841269845,0.05893498118973399,-0.4583537581699343,2.139031862745098,0.08997000999666778,0.08230589803398868,False,False,False,audio_ended_no_fast_25pct_attention_pass,41,21
soul,14,20,7.261904761904762,6.4,0.8619047619047615,0.05518910310806483,-0.18519841269841175,1.9643607245269654,0.053315561479506834,0.07464178607130956,False,False,False,audio_ended_no_fast_25pct_attention_pass,41,21
